Group	Scan Group	Scan Identity	Res	Sections
1	CCR-2-B1	CCR-2-0001	205	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
1	CCR-2-B1	CCR-2-0002	160	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
1	CCR-2-B1	CCR-2-0003	137	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
1	CCR-2-B1	CCR-2-0004	117	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
1	CCR-2-B1	CCR-2-0005	102	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
1	CCR-2-B1	CCR-2-0006	90	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
1	CCR-2-B1	CCR-2-0007	82	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
2	CCR-2-B1	CCR-2-0008	205	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
2	CCR-2-B1	CCR-2-0009	164	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
2	CCR-2-B1	CCR-2-0010	137	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
2	CCR-2-B1	CCR-2-0011	117	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
2	CCR-2-B1	CCR-2-0012	102	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
2	CCR-2-B1	CCR-2-0013	90	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
2	CCR-2-B1	CCR-2-0014	82	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
3	CCR-2-B1	CCR-2-0015	205	[6, 5, 5, 6, 5, 5, 6, 5, 5, 6]
3	CCR-2-B1	CCR-2-0016	164	[6, 5, 5, 6, 5, 5, 6, 5, 5, 6]
3	CCR-2-B1	CCR-2-0017	137	[6, 5, 5, 6, 5, 5, 6, 5, 5, 6]
3	CCR-2-B1	CCR-2-0018	117	[6, 5, 5, 6, 5, 5, 6, 5, 5, 6]
3	CCR-2-B1	CCR-2-0019	102	[6, 5, 5, 6, 5, 5, 6, 5, 5, 6]
3	CCR-2-B1	CCR-2-0020	90	[6, 5, 5, 6, 5, 5, 6, 5, 5, 6]
3	CCR-2-B1	CCR-2-0021	82	[6, 5, 5, 6, 5, 5, 6, 5, 5, 6]
4	CCR-2-B1	CCR-2-0022	205	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
4	CCR-2-B1	CCR-2-0023	164	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
4	CCR-2-B1	CCR-2-0024	137	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
4	CCR-2-B1	CCR-2-0025	117	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
4	CCR-2-B1	CCR-2-0026	102	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
